date,open,high,low,close,volume,dividends,stock_splits,symbol
2021-06-28,144.4516024187092,145.00502745825395,143.64343404268536,144.08265686035156,5604000,0.0,0.0,JNJ
2021-06-29,144.06506311239113,144.62726770057157,143.54678348035276,144.09141540527344,3749500,0.0,0.0,JNJ
2021-06-30,144.06504871391866,144.9171418426574,143.77516011717125,144.71510314941406,6151700,0.0,0.0,JNJ
2021-07-01,144.71511488759378,145.83073100930827,144.6184853475068,145.7868194580078,6320200,0.0,0.0,JNJ
2021-07-02,145.8394914431955,148.72079093480323,145.50567794223716,148.43968200683594,9059900,0.0,0.0,JNJ
2021-07-06,147.49978564954347,148.33430618540993,146.69161740609277,147.552490234375,6098500,0.0,0.0,JNJ
2021-07-07,147.12202210890672,148.8964854526756,147.12202210890672,148.8174285888672,6293500,0.0,0.0,JNJ
2021-07-08,148.1937285903382,148.8613556381774,147.20987408280132,148.5275421142578,5755500,0.0,0.0,JNJ
2021-07-09,148.78232103960372,149.6607666045142,148.66813223089596,149.1161346435547,6120900,0.0,0.0,JNJ
2021-07-12,149.09854813841937,150.37229140849578,148.05319586857274,148.87893676757812,7840500,0.0,0.0,JNJ
2021-07-13,148.4309369362799,149.12490298224625,148.1674006059582,148.69447326660156,4691200,0.0,0.0,JNJ
2021-07-14,149.33572067157652,150.06483197510173,148.49240717472415,149.7046661376953,6162900,0.0,0.0,JNJ
2021-07-15,148.72083094207133,149.24789021777667,147.33288539588838,147.90386962890625,6656900,0.0,0.0,JNJ
2021-07-16,147.87747478215172,148.53630874020885,147.53488166012247,147.66665649414062,5834900,0.0,0.0,JNJ
2021-07-19,146.24359972757685,147.74574739583807,145.22461315803463,146.59498596191406,8219700,0.0,0.0,JNJ
2021-07-20,146.61252807842354,150.04725271989534,146.55982350043882,147.97412109375,9902800,0.0,0.0,JNJ
2021-07-21,148.72083428973156,149.06342751805695,147.12205695486944,148.8877410888672,7585200,0.0,0.0,JNJ
2021-07-22,148.77354429799712,150.2756921409267,148.14984203703398,149.31817626953125,5281900,0.0,0.0,JNJ
2021-07-23,150.2141760631079,151.25073528856396,149.66954415847943,150.90814208984375,5014900,0.0,0.0,JNJ
2021-07-26,150.93451252039685,151.21560811082418,150.09119894108574,150.97842407226562,4484900,0.0,0.0,JNJ
2021-07-27,150.91696054530107,151.72512890908533,149.9243127031236,151.67242431640625,7089300,0.0,0.0,JNJ
2021-07-28,151.73392602684282,152.3049237893774,151.16294166832625,151.2507781982422,5750700,0.0,0.0,JNJ
2021-07-29,151.742719062647,152.26977845419663,150.2932755768451,151.2507781982422,4214100,0.0,0.0,JNJ
2021-07-30,151.5669635072983,151.95348162816754,150.95205440773958,151.26829528808594,5346400,0.0,0.0,JNJ
2021-08-02,151.50548987836498,151.83051040996665,150.4777102964769,151.32980346679688,3721500,0.0,0.0,JNJ
2021-08-03,151.73385519980653,153.2887071573337,151.47911195673714,153.19207763671875,6033000,0.0,0.0,JNJ
2021-08-04,153.0251987196329,153.3677919179509,152.19945783034993,152.2873077392578,4793100,0.0,0.0,JNJ
2021-08-05,152.71773343169727,152.71773343169727,151.46154957843422,152.57717895507812,4291000,0.0,0.0,JNJ
2021-08-06,152.796799299179,152.796799299179,151.4879107910835,152.06768798828125,4581100,0.0,0.0,JNJ
2021-08-09,152.60355196834345,153.06912700686095,151.9095725232981,152.5947723388672,3950200,0.0,0.0,JNJ
